year,blsva,blslabor,blscapservices,blsemploy,blshours,blslaborshare,blscapshare,blsmfp,blslaborqual
1948,1410.207,3195.133,413.298,51.835,107.701,0.656,0.344,43.296,80.202
1949,1396.279,3089.182,424.827,50.565,103.901,0.660,0.340,43.420,80.379
1950,1533.628,3149.801,439.932,51.207,105.138,0.648,0.352,46.523,80.992
1951,1633.404,3258.092,462.474,52.745,108.467,0.647,0.353,47.630,81.205
1952,1683.304,3267.785,477.674,52.993,108.492,0.661,0.339,48.444,81.428
1953,1766.152,3328.776,492.343,53.901,109.692,0.675,0.325,49.703,82.041
1954,1743.581,3234.027,503.544,52.498,105.791,0.674,0.326,49.667,82.645
1955,1885.128,3359.250,520.512,54.104,109.690,0.655,0.345,51.781,82.793
1956,1915.499,3415.308,539.396,55.314,111.333,0.668,0.332,51.419,82.932
1957,1947.983,3376.525,555.521,55.227,109.602,0.671,0.329,52.182,83.285
1958,1911.051,3229.117,567.338,53.063,104.410,0.670,0.330,52.382,83.610
1959,2067.846,3363.713,580.812,54.726,108.629,0.662,0.338,54.729,83.713
1960,2106.372,3380.018,597.005,55.052,108.601,0.671,0.329,55.062,84.140
1961,2147.172,3338.101,608.901,54.449,106.666,0.669,0.331,56.232,84.604
1962,2286.961,3429.323,626.310,55.211,108.555,0.664,0.336,58.276,85.403
1963,2393.009,3456.174,647.795,55.590,109.169,0.657,0.343,59.974,85.588
1964,2545.644,3517.139,671.055,56.677,111.034,0.658,0.342,62.313,85.635
1965,2725.344,3630.775,701.935,58.392,114.733,0.651,0.349,64.330,85.552
1966,2909.641,3724.487,741.029,60.185,117.721,0.656,0.344,66.289,85.533
1967,2964.691,3716.574,783.989,61.034,117.279,0.663,0.337,66.353,85.672
1968,3114.295,3775.809,817.289,62.303,119.420,0.665,0.335,68.016,85.478
1969,3209.732,3884.616,855.805,64.318,122.435,0.677,0.323,67.742,85.775
1970,3208.581,3817.844,894.183,64.089,119.786,0.689,0.311,67.576,86.165
1971,3332.809,3788.364,930.446,64.067,119.208,0.678,0.322,69.683,85.914
1972,3550.567,3917.545,967.142,66.100,123.221,0.673,0.327,71.668,85.950
1973,3801.432,4055.365,1021.734,68.904,127.790,0.674,0.326,73.634,85.793
1974,3746.216,4082.375,1074.825,70.052,127.824,0.685,0.315,71.075,86.341
1975,3708.322,3903.694,1111.565,67.852,122.178,0.664,0.336,71.722,86.378
