Date,Value
4/1/20,2.41
3/31/20,2.4
2/29/20,1.8
2/28/20,1.97
1/31/20,1.79
12/31/19,1.83
11/30/19,1.86
11/1/19,1.87
10/31/19,1.93
9/30/19,1.92
8/31/19,1.96
7/31/19,1.88
6/30/19,1.94
5/31/19,1.95
4/30/19,1.9
3/31/19,1.96
2/28/19,1.98
1/31/19,2.08
12/31/18,2.09
11/30/18,1.96
10/31/18,1.9
9/30/18,1.8
8/31/18,1.82
7/31/18,1.84
6/30/18,1.85
5/31/18,1.88
4/30/18,1.9
3/31/18,1.85
2/28/18,1.84
1/31/18,1.77
12/31/17,1.84
11/30/17,1.88
10/31/17,1.89
9/30/17,1.93
8/31/17,1.95
7/31/17,1.94
6/30/17,1.94
5/31/17,1.96
4/30/17,1.98
3/31/17,1.96
2/28/17,1.98
1/31/17,2.02
12/31/16,2.03
11/30/16,2.1
10/31/16,2.11
9/30/16,2.09
8/31/16,2.07
7/31/16,2.08
6/30/16,2.13
5/31/16,2.14
4/30/16,2.12
3/31/16,2.17
2/29/16,2.3
1/31/16,2.27
12/31/15,2.11
11/30/15,2.07
10/31/15,2.11
9/30/15,2.19
8/31/15,2.07
7/31/15,2.01
6/30/15,1.99
5/31/15,1.96
4/30/15,1.96
3/31/15,1.96
2/28/15,1.94
1/31/15,1.97
12/31/14,1.92
11/30/14,1.91
10/31/14,2
9/30/14,1.93
8/31/14,1.94
7/31/14,1.91
6/30/14,1.92
5/31/14,1.96
4/30/14,1.96
3/31/14,1.94
2/28/14,1.97
1/31/14,1.94
12/31/13,1.94
11/30/13,1.95
10/31/13,2.01
9/30/13,2.04
8/31/13,2.04
7/31/13,2.02
6/30/13,2.06
5/31/13,2.01
4/30/13,2.07
3/31/13,2.07
2/28/13,2.1
1/31/13,2.13
12/31/12,2.2
11/30/12,2.2
10/31/12,2.1
9/30/12,2.05
8/31/12,2.08
7/31/12,2.11
6/30/12,2.14
5/31/12,2.09
4/30/12,2
3/31/12,1.97
2/29/12,2
1/31/12,2.06
12/31/11,2.13
11/30/11,2.12
10/31/11,2.12
9/30/11,2.15
8/31/11,2.1
7/31/11,1.86
6/30/11,1.89
5/31/11,1.8
4/30/11,1.78
3/31/11,1.8
2/28/11,1.76
1/31/11,1.79
12/31/10,1.83
11/30/10,1.89
10/31/10,1.92
9/30/10,1.99
8/31/10,2.05
7/31/10,2.05
6/30/10,2.03
5/31/10,1.95
4/30/10,1.83
3/31/10,1.9
2/28/10,2.03
1/31/10,1.98
12/31/09,2.02
11/30/09,2.1
10/31/09,2.19
9/30/09,2.29
8/31/09,2.42
7/31/09,2.67
6/30/09,2.76
5/31/09,2.9
4/30/09,3.15
3/31/09,3.6
2/28/09,3.43
1/31/09,3.24
12/31/08,3.23
11/30/08,3.23
10/31/08,2.96
9/30/08,2.37
8/31/08,2.25
7/31/08,2.29
6/30/08,2.14
5/31/08,2.04
4/30/08,2.08
3/31/08,2.15
2/29/08,2.07
1/31/08,2.03
12/31/07,1.87
11/30/07,1.88
10/31/07,1.77
9/30/07,1.8
8/31/07,1.84
7/31/07,1.74
6/30/07,1.73
5/31/07,1.72
4/30/07,1.76
3/31/07,1.81
2/28/07,1.75
1/31/07,1.76
12/31/06,1.76
11/30/06,1.77
10/31/06,1.79
9/30/06,1.83
8/31/06,1.85
7/31/06,1.88
