year,ind2d,sale_D,cogs_D,xsga_D,kexp,theta_WI1_ct,theta_WI1_kt,theta_WI2_ct,theta_WI2_xt,theta_WI2_kt,ratio_DLEU_PF1_cap_noncap,ratio_DLEU_PF2_cap_noncap,ratio_DLEU_CS_cap_noncap,ratio_DLEU_PS_profits_go
1955,11,2599948.6640625,1608754.3359375,641213.5297851563,166778.7158203125,.79888207,-.092389509,.63676375,-.058980647,.06932357,-.11564849,.119982,.074124932,.070463732
1956,11,4788688.40625,3149968.796875,819390.9189453125,488692.044921875,.79888207,-.092389509,.63676375,-.058980647,.06932357,-.11564849,.119982,.12311609,.069045343
1957,11,4719398.546875,3075789.48828125,822195.4594726563,509602.5966796875,.79888207,-.092389509,.63676375,-.058980647,.06932357,-.11564849,.119982,.13073488,.066070072
1958,11,4442352.9296875,2899235.33984375,801235.294921875,485959.3623046875,.79888207,-.092389509,.63676375,-.058980647,.06932357,-.11564849,.119982,.13132367,.05760977
1959,11,4404478.8671875,2907060.4609375,822706.9633789063,598982.353515625,.79888207,-.092389509,.63676375,-.058980647,.06932357,-.11564849,.119982,.16059509,.017193655
1960,11,4634090.733398438,3186736.947753906,866361.5397949219,572254.3178710938,.79888207,-.092389509,.63676375,-.058980647,.06932357,-.11564849,.119982,.14118935,.0018855755
1961,11,5507131.955078125,3782997.700683594,1047543.663085938,606925.6796875,.79888207,-.092389509,.63676375,-.058980647,.06932357,-.11564849,.119982,.1256434,.012649944
1962,11,5789187.287109375,3982472.454589844,1088683.893310547,646580.5437011719,.79888207,-.092389509,.63676375,-.058980647,.06932357,-.11564849,.119982,.12750159,.012342042
1963,11,6241145.715820313,4289937.539794922,1163426.755126953,684974.9050292969,.79888207,-.092389509,.63676375,-.058980647,.06932357,-.11564849,.119982,.12560593,.016472379
1964,11,6600468.392578125,4556607.6875,1249817.582519531,712018.2973632813,.79888207,-.092389509,.63676375,-.058980647,.06932357,-.11564849,.119982,.12262593,.012427122
1965,11,7147614.811523438,4953106.822753906,1236684.461181641,725411.2883300781,.79888207,-.092389509,.63676375,-.058980647,.06932357,-.11564849,.119982,.11719479,.032516055
1966,11,7941329.436523438,5535103.602539063,1418147.330078125,770384.7150878906,.79888207,-.092389509,.63676375,-.058980647,.06932357,-.11564849,.119982,.11079489,.027412765
1967,11,8269957.076171875,5717255.376953125,1484705.608154297,750891.7407226563,.79888207,-.092389509,.63676375,-.058980647,.06932357,-.11564849,.119982,.10426212,.038344134
1968,11,8801444.943359375,6028179.409667969,1575219.410644531,776237.3071289063,.79888207,-.092389509,.63676375,-.058980647,.06932357,-.11564849,.119982,.10209083,.047924951
1969,11,8678130.55078125,5990735.433105469,1599741.238769531,917228.1176757813,.79888207,-.092389509,.63676375,-.058980647,.06932357,-.11564849,.119982,.12083933,.019638535
1970,11,12605596.234375,9748242.129394531,1895211.815307617,821677.9143066406,.75862962,-.0051655443,.66402382,.011694254,-.0082935635,-.0068090465,-.012273704,.070569947,.011143018
1971,11,13246169.34472656,10065350.66796875,2142723.366455078,688347.3193359375,.79300898,.0080119148,.68832994,-.00018161989,.061396781,.010103183,.089220271,.056384597,.026403708
1972,11,14039218.80273438,10714295.43994141,2198210.131713867,736932.2331542969,.78164327,.14831486,.68713444,.09370023,.073220573,.18974751,.093772188,.057071205,.027763724
1973,11,17056036.20214844,13070024.97021484,2525016.213195801,1021977.751831055,.77246684,.26627138,.75514156,.3349447,.19955184,.34470266,.18306059,.065532222,.025739701
1974,11,21780559.30078125,16124216.06396484,3788595.537597656,1222320.704833984,.80538464,.23163497,.71893334,.35624745,.022901518,.28760788,.021300156,.061383631,.029633168
