1948 &    0.8096 &    0.1253 &    0.0544 &    0.0108 & 1984 &    0.6029 &    0.2332 &    0.1192 &    0.0447\\
1949 &    0.7042 &    0.1912 &    0.0862 &    0.0184 & 1985 &    0.6118 &    0.2298 &    0.1102 &    0.0482\\
1950 &    0.8714 &    0.0437 &    0.0629 &    0.0221 & 1986 &    0.6389 &    0.2057 &    0.1037 &    0.0517\\
1951 &    0.8442 &    0.0645 &    0.0759 &    0.0153 & 1987 &    0.6562 &    0.1929 &    0.1027 &    0.0483\\
1952 &    0.7600 &    0.1365 &    0.0833 &    0.0203 & 1988 &    0.6609 &    0.1917 &    0.1024 &    0.0451\\
1953 &    0.7302 &    0.1726 &    0.0756 &    0.0216 & 1989 &    0.6473 &    0.1944 &    0.1040 &    0.0543\\
1954 &    0.7199 &    0.1735 &    0.0873 &    0.0194 & 1990 &    0.6513 &    0.1966 &    0.0979 &    0.0542\\
1955 &    0.8140 &    0.0842 &    0.0769 &    0.0249 & 1991 &    0.6319 &    0.2146 &    0.0997 &    0.0538\\
1956 &    0.8134 &    0.1030 &    0.0605 &    0.0231 & 1992 &    0.6563 &    0.1865 &    0.1022 &    0.0550\\
1957 &    0.7494 &    0.1508 &    0.0753 &    0.0245 & 1993 &    0.6759 &    0.1644 &    0.1013 &    0.0583\\
1958 &    0.6912 &    0.1984 &    0.0833 &    0.0271 & 1994 &    0.7027 &    0.1428 &    0.0995 &    0.0551\\
1959 &    0.7123 &    0.1757 &    0.0837 &    0.0283 & 1995 &    0.6630 &    0.1793 &    0.1016 &    0.0561\\
1960 &    0.6842 &    0.1961 &    0.0874 &    0.0323 & 1996 &    0.6788 &    0.1596 &    0.1037 &    0.0578\\
1961 &    0.7003 &    0.1758 &    0.0908 &    0.0332 & 1997 &    0.6650 &    0.1597 &    0.1137 &    0.0617\\
1962 &    0.7101 &    0.1699 &    0.0856 &    0.0344 & 1998 &    0.6860 &    0.1415 &    0.1099 &    0.0626\\
1963 &    0.7113 &    0.1687 &    0.0872 &    0.0328 & 1999 &    0.6993 &    0.1423 &    0.1057 &    0.0527\\
1964 &    0.7426 &    0.1348 &    0.0894 &    0.0332 & 2000 &    0.6829 &    0.1555 &    0.1050 &    0.0567\\
1965 &    0.7458 &    0.1328 &    0.0885 &    0.0329 & 2001 &    0.6939 &    0.1383 &    0.1060 &    0.0618\\
1966 &    0.7637 &    0.1156 &    0.0851 &    0.0356 & 2002 &    0.6839 &    0.1520 &    0.1025 &    0.0616\\
1967 &    0.7514 &    0.1334 &    0.0815 &    0.0337 & 2003 &    0.7015 &    0.1373 &    0.1023 &    0.0588\\
1968 &    0.7883 &    0.0893 &    0.0856 &    0.0367 & 2004 &    0.8063 &    0.0208 &    0.1044 &    0.0685\\
1969 &    0.7642 &    0.1149 &    0.0852 &    0.0357 & 2005 &    0.8093 &    0.0136 &    0.1119 &    0.0652\\
1970 &    0.7379 &    0.1408 &    0.0842 &    0.0372 & 2006 &    0.7412 &    0.1048 &    0.0916 &    0.0624\\
1971 &    0.7989 &    0.0641 &    0.0960 &    0.0410 & 2007 &    0.6882 &    0.1636 &    0.0905 &    0.0577\\
1972 &    0.7770 &    0.0924 &    0.0929 &    0.0378 & 2008 &    0.6843 &    0.1668 &    0.0864 &    0.0624\\
1973 &    0.8461 &    0.0183 &    0.1007 &    0.0349 & 2009 &    0.6052 &    0.2524 &    0.0831 &    0.0593\\
1974 &    0.9052 &    0.0106 &    0.0512 &    0.0329 & 2010 &    0.6499 &    0.1967 &    0.0905 &    0.0628\\
1975 &    0.7542 &    0.1474 &    0.0616 &    0.0368 & 2011 &    0.6885 &    0.1588 &    0.0880 &    0.0646\\
1976 &    0.7277 &    0.1485 &    0.0864 &    0.0374 & 2012 &    0.7103 &    0.1373 &    0.0883 &    0.0640\\
1977 &    0.8175 &    0.0443 &    0.0979 &    0.0403 & 2013 &    0.7652 &    0.0585 &    0.1084 &    0.0679\\
1978 &    0.8246 &    0.0426 &    0.0940 &    0.0388 & 2014 &    0.7151 &    0.1200 &    0.0968 &    0.0681\\
1979 &    0.8092 &    0.0562 &    0.0980 &    0.0366 & 2015 &    0.6913 &    0.1507 &    0.0917 &    0.0663\\
1980 &    0.7214 &    0.1538 &    0.0881 &    0.0367 & 2016 &    0.7099 &    0.1250 &    0.0976 &    0.0675\\
1981 &    0.6743 &    0.1721 &    0.1139 &    0.0398 & 2017 &    0.7180 &    0.1288 &    0.0880 &    0.0652\\
1982 &    0.5896 &    0.2484 &    0.1193 &    0.0426 & 2018 &    0.7241 &    0.1170 &    0.0876 &    0.0713\\
1983 &    0.5882 &    0.2541 &    0.1168 &    0.0409 & . &         . &         . &         . &         .\\
