1997 &    0.2842 &    0.2846 &   -0.0005 &    0.3363 &    0.3355 &    0.0008\\
1998 &    0.2821 &    0.2832 &   -0.0011 &    0.3152 &    0.3148 &    0.0004\\
1999 &    0.2855 &    0.2869 &   -0.0014 &    0.3012 &    0.3012 &    0.0000\\
2000 &    0.2855 &    0.2860 &   -0.0004 &    0.3192 &    0.3179 &    0.0013\\
2001 &    0.2825 &    0.2827 &   -0.0002 &    0.3079 &    0.3065 &    0.0014\\
2002 &    0.2763 &    0.2770 &   -0.0007 &    0.3173 &    0.3162 &    0.0011\\
2003 &    0.2785 &    0.2790 &   -0.0006 &    0.3003 &    0.2987 &    0.0016\\
2004 &    0.2814 &    0.2822 &   -0.0008 &    0.1981 &    0.1939 &    0.0042\\
2005 &    0.2907 &    0.2904 &    0.0002 &    0.1964 &    0.1908 &    0.0056\\
2006 &    0.2933 &    0.2930 &    0.0002 &    0.2607 &    0.2589 &    0.0017\\
2007 &    0.2964 &    0.2945 &    0.0019 &    0.3132 &    0.3121 &    0.0012\\
2008 &    0.3001 &    0.2958 &    0.0044 &    0.3180 &    0.3159 &    0.0021\\
2009 &    0.2777 &    0.2756 &    0.0021 &    0.3965 &    0.3950 &    0.0016\\
2010 &    0.2771 &    0.2745 &    0.0026 &    0.3519 &    0.3499 &    0.0020\\
2011 &    0.2825 &    0.2793 &    0.0032 &    0.3129 &    0.3102 &    0.0027\\
2012 &    0.2855 &    0.2816 &    0.0038 &    0.2924 &    0.2883 &    0.0040\\
2013 &    0.2887 &    0.2849 &    0.0038 &    0.2410 &    0.2344 &    0.0066\\
2014 &    0.2909 &    0.2884 &    0.0025 &    0.2883 &    0.2850 &    0.0033\\
2015 &    0.2860 &    0.2858 &    0.0002 &    0.3078 &    0.3066 &    0.0012\\
2016 &    0.2845 &    0.2847 &   -0.0002 &    0.2907 &    0.2892 &    0.0015\\
2017 &    0.2869 &    0.2870 &   -0.0002 &    0.2818 &    0.2814 &    0.0004\\
2018 &    0.2914 &    0.2913 &    0.0001 &    0.2750 &    0.2737 &    0.0012\\
\\
Mean &    0.2858 &    0.2849 &    0.0009 &    0.2965 &    0.2944 &    0.0021\\
