1948 &    0.8096 &    0.1253 &    0.0544 &    0.0108 & 1984 &    0.6029 &    0.2332 &    0.1192 &    0.0447\\
1949 &    0.7042 &    0.1912 &    0.0862 &    0.0184 & 1985 &    0.6119 &    0.2298 &    0.1102 &    0.0481\\
1950 &    0.8718 &    0.0432 &    0.0629 &    0.0221 & 1986 &    0.6390 &    0.2057 &    0.1037 &    0.0517\\
1951 &    0.8442 &    0.0645 &    0.0759 &    0.0153 & 1987 &    0.6559 &    0.1930 &    0.1027 &    0.0485\\
1952 &    0.7600 &    0.1365 &    0.0833 &    0.0203 & 1988 &    0.6608 &    0.1917 &    0.1024 &    0.0451\\
1953 &    0.7302 &    0.1726 &    0.0756 &    0.0216 & 1989 &    0.6471 &    0.1945 &    0.1040 &    0.0545\\
1954 &    0.7199 &    0.1735 &    0.0873 &    0.0194 & 1990 &    0.6512 &    0.1967 &    0.0979 &    0.0542\\
1955 &    0.8140 &    0.0842 &    0.0769 &    0.0249 & 1991 &    0.6321 &    0.2145 &    0.0997 &    0.0537\\
1956 &    0.8134 &    0.1030 &    0.0605 &    0.0231 & 1992 &    0.6561 &    0.1866 &    0.1022 &    0.0551\\
1957 &    0.7494 &    0.1508 &    0.0753 &    0.0245 & 1993 &    0.6757 &    0.1645 &    0.1013 &    0.0585\\
1958 &    0.6912 &    0.1984 &    0.0833 &    0.0271 & 1994 &    0.7024 &    0.1428 &    0.0994 &    0.0553\\
1959 &    0.7119 &    0.1761 &    0.0836 &    0.0283 & 1995 &    0.6627 &    0.1794 &    0.1016 &    0.0563\\
1960 &    0.6842 &    0.1961 &    0.0874 &    0.0323 & 1996 &    0.6784 &    0.1597 &    0.1037 &    0.0581\\
1961 &    0.7003 &    0.1758 &    0.0907 &    0.0332 & 1997 &    0.6645 &    0.1598 &    0.1137 &    0.0620\\
1962 &    0.7101 &    0.1699 &    0.0856 &    0.0344 & 1998 &    0.6852 &    0.1417 &    0.1099 &    0.0632\\
1963 &    0.7110 &    0.1691 &    0.0872 &    0.0327 & 1999 &    0.6988 &    0.1425 &    0.1057 &    0.0530\\
1964 &    0.7426 &    0.1348 &    0.0894 &    0.0332 & 2000 &    0.6821 &    0.1559 &    0.1051 &    0.0570\\
1965 &    0.7458 &    0.1328 &    0.0885 &    0.0329 & 2001 &    0.6935 &    0.1384 &    0.1061 &    0.0620\\
1966 &    0.7637 &    0.1156 &    0.0851 &    0.0356 & 2002 &    0.6838 &    0.1521 &    0.1025 &    0.0617\\
1967 &    0.7514 &    0.1334 &    0.0815 &    0.0337 & 2003 &    0.7013 &    0.1374 &    0.1023 &    0.0589\\
1968 &    0.7883 &    0.0893 &    0.0856 &    0.0367 & 2004 &    0.8061 &    0.0208 &    0.1044 &    0.0686\\
1969 &    0.7642 &    0.1149 &    0.0852 &    0.0357 & 2005 &    0.8092 &    0.0136 &    0.1119 &    0.0653\\
1970 &    0.7379 &    0.1408 &    0.0842 &    0.0372 & 2006 &    0.7411 &    0.1048 &    0.0916 &    0.0626\\
1971 &    0.7989 &    0.0641 &    0.0960 &    0.0410 & 2007 &    0.6879 &    0.1637 &    0.0905 &    0.0579\\
1972 &    0.7770 &    0.0924 &    0.0929 &    0.0378 & 2008 &    0.6841 &    0.1669 &    0.0864 &    0.0626\\
1973 &    0.8463 &    0.0181 &    0.1008 &    0.0349 & 2009 &    0.6050 &    0.2525 &    0.0831 &    0.0593\\
1974 &    0.9052 &    0.0106 &    0.0512 &    0.0329 & 2010 &    0.6501 &    0.1964 &    0.0906 &    0.0629\\
1975 &    0.7542 &    0.1474 &    0.0616 &    0.0368 & 2011 &    0.6898 &    0.1572 &    0.0882 &    0.0648\\
1976 &    0.7277 &    0.1485 &    0.0864 &    0.0374 & 2012 &    0.7117 &    0.1357 &    0.0885 &    0.0641\\
1977 &    0.8175 &    0.0443 &    0.0979 &    0.0403 & 2013 &    0.7656 &    0.0580 &    0.1085 &    0.0678\\
1978 &    0.8246 &    0.0426 &    0.0940 &    0.0388 & 2014 &    0.7150 &    0.1202 &    0.0968 &    0.0681\\
1979 &    0.8092 &    0.0562 &    0.0980 &    0.0367 & 2015 &    0.6934 &    0.1483 &    0.0919 &    0.0665\\
1980 &    0.7214 &    0.1538 &    0.0881 &    0.0367 & 2016 &    0.7108 &    0.1239 &    0.0976 &    0.0677\\
1981 &    0.6743 &    0.1721 &    0.1139 &    0.0397 & 2017 &    0.7186 &    0.1279 &    0.0881 &    0.0654\\
1982 &    0.5897 &    0.2484 &    0.1193 &    0.0426 & 2018 &    0.7263 &    0.1148 &    0.0878 &    0.0712\\
1983 &    0.5883 &    0.2541 &    0.1168 &    0.0408 & . &         . &         . &         . &         .\\
