1997 &    0.3703 &    0.3686 &    0.0018 &    0.2268 &    0.2265 &    0.0003\\
1998 &    0.3556 &    0.3553 &    0.0003 &    0.2209 &    0.2211 &   -0.0002\\
1999 &    0.3523 &    0.3522 &    0.0001 &    0.2228 &    0.2229 &   -0.0000\\
2000 &    0.3431 &    0.3414 &    0.0016 &    0.2239 &    0.2230 &    0.0009\\
2001 &    0.3406 &    0.3398 &    0.0008 &    0.2288 &    0.2281 &    0.0007\\
2002 &    0.3490 &    0.3479 &    0.0010 &    0.2314 &    0.2309 &    0.0006\\
2003 &    0.3606 &    0.3580 &    0.0026 &    0.2331 &    0.2322 &    0.0009\\
2004 &    0.3665 &    0.3624 &    0.0041 &    0.2345 &    0.2335 &    0.0010\\
2005 &    0.3774 &    0.3714 &    0.0060 &    0.2396 &    0.2381 &    0.0014\\
2006 &    0.3772 &    0.3700 &    0.0072 &    0.2422 &    0.2411 &    0.0011\\
2007 &    0.3787 &    0.3714 &    0.0073 &    0.2460 &    0.2447 &    0.0013\\
2008 &    0.3827 &    0.3753 &    0.0074 &    0.2586 &    0.2553 &    0.0033\\
2009 &    0.3910 &    0.3877 &    0.0033 &    0.2608 &    0.2594 &    0.0014\\
2010 &    0.3959 &    0.3887 &    0.0071 &    0.2578 &    0.2551 &    0.0027\\
2011 &    0.3964 &    0.3866 &    0.0097 &    0.2582 &    0.2549 &    0.0032\\
2012 &    0.3925 &    0.3831 &    0.0095 &    0.2537 &    0.2507 &    0.0029\\
2013 &    0.3964 &    0.3884 &    0.0080 &    0.2549 &    0.2525 &    0.0024\\
2014 &    0.3930 &    0.3862 &    0.0068 &    0.2550 &    0.2528 &    0.0022\\
2015 &    0.3889 &    0.3854 &    0.0035 &    0.2499 &    0.2495 &    0.0004\\
2016 &    0.3892 &    0.3866 &    0.0026 &    0.2489 &    0.2488 &    0.0002\\
2017 &    0.3883 &    0.3853 &    0.0030 &    0.2511 &    0.2509 &    0.0002\\
2018 &    0.3927 &    0.3893 &    0.0033 &    0.2535 &    0.2530 &    0.0004\\
\\
Mean &    0.3763 &    0.3719 &    0.0044 &    0.2433 &    0.2420 &    0.0012\\
